recordId	sizeBytes	mimeType	fileName
52	286498	image/webp	Špilja s kaskadama_nacrt(1).webp
75	216720	image/webp	Rokina bezdana_veliki nacrt_2.webp
81	273046	image/webp	Vražić špilja_nacrt(1).webp
190	72704	image/webp	Špilja u kanjonu Dobre_nacrt_2.webp
239	147646	image/webp	Špilja u kamenolomu Debeljača_nacrt(1).webp
477	99272	image/webp	05-1105_Zečev ponor_nacrt_2.webp
528	28595	application/pdf	Jama u šumi na pločama 1_nacrt.pdf
543	51888	image/webp	Patkov gušt_nacrt.webp
640	37558	image/webp	Talijanova buža_nacrt(1).webp
692	52980	image/webp	Jama za stijenama_nacrt_2.webp
732	41562	image/webp	Vitkovača_nacrt(1).webp
801	128918	image/webp	Mamet_nacrt_1968_2.webp
857	131942	image/webp	Zazidana (Suva) pećina_nacrt_2023(1).webp
878	1292028	application/pdf	05-921_Čierna Diera_nacrt.pdf
950	3764224	application/pdf	05-215 Nedam-i-se_nacrt.pdf
969	804297	application/pdf	05-851_Torov čekić_nacrt.pdf
1195	571032	image/webp	Špilja u kamenolomu Tounj_nacrt(1).webp
1376	1811236	application/pdf	05-726_Kokobre_nacrt.pdf
1388	1836156	application/pdf	05-708_Vinkino neshvaćanje_nacrt.pdf
1570	5367	application/pdf	MR_poligonski vlak_profil.pdf
1586	596834	application/pdf	05-1247_(Ne)radni disto_nacrt.pdf
1587	1587643	application/pdf	05-1199_Balov_nacrt.pdf
1588	471367	application/pdf	05-1163_But_nacrt.pdf
1589	958668	application/pdf	05-1192_Jama izgubljenog reflektora_nacrt.pdf
1590	2631339	application/pdf	05-1189_Fata je fata_nacrt.pdf
1591	864281	application/pdf	05-1201_Gorski prištić_nacrt.pdf
1592	563065	application/pdf	05-1176_Halapenjo_nacrt.pdf
1593	814081	application/pdf	05-1186_Hvala na strpljenju_nacrt.pdf
1596	582161	application/pdf	05-1179_Jamica s pogledom na Velikom Rajincu_nacrt.pdf
1597	912595	application/pdf	05-1185_Jedina od četiri_nacrt.pdf
1598	859341	application/pdf	05-1177_Kilava sarma_nacrt.pdf
1599	557679	application/pdf	05-1210_Klekača_nacrt.pdf
1601	888648	application/pdf	05-1180_Kozje tajne_nacrt.pdf
1602	904217	application/pdf	05-896_Krušljiva čokolada_nacrt.pdf
1604	1816430	application/pdf	05-1183_La jama desnuda_nacrt.pdf
1605	762127	application/pdf	05-1187_Ledeno gnijezdo_nacrt.pdf
1606	1740237	application/pdf	05-1209_Lojtrica_nacrt.pdf
1607	1790861	application/pdf	05-1026_Magični portal_nacrt.pdf
1608	919646	application/pdf	05-1128_Malo gnijezdo_nacrt.pdf
1609	846659	application/pdf	05-1127_Mišolovka_nacrt.pdf
1610	625043	application/pdf	05-1178_Mjesečev meandar_nacrt.pdf
1611	980497	application/pdf	05-1213_Nije duga_nacrt.pdf
1612	1209981	application/pdf	05-1212_Overkill klekača_nacrt.pdf
1613	1359821	application/pdf	punjeta.pdf
1614	615660	application/pdf	05-1205_Puževa smrt_nacrt.pdf
1615	515097	application/pdf	05-1167_Seksipilna vaga_nacrt.pdf
1617	1583552	application/pdf	05-1125_Speleološki odušak_nacrt.pdf
1618	771714	application/pdf	05-1162_Sponzoruša_nacrt.pdf
1619	513131	application/pdf	05-1173_Špilja pod tugama_nacrt.pdf
1620	1349122	application/pdf	05-1188_U potrazi za izgubljenim logorom_nacrt.pdf
1621	925819	application/pdf	05-1026_Uske muke_nacrt.pdf
1622	1117208	application/pdf	05-1198_Utješna_nacrt.pdf
1623	385557	application/pdf	05-1170_Zzzzzz_nacrt.pdf
