post_id,title,slug,post_url,category,date,source_url,source_tar_path,source_size_mb,article_image,article_width,article_height,article_size_mb,thumb_image,thumb_width,thumb_height,thumb_size_mb
6806,Spust u jamu,6806,novosti/6806.html,Speleoškola,28.04.2026.,https://sovelebit.wordpress.com/wp-content/uploads/2026/04/grupno-crtanje_klara-krsticevic.jpg?w=810,2026/04/grupno-crtanje_klara-krsticevic.jpg,0.804,assets/legacy-wordpress-featured/2026/04/6806-6806.webp,1200,1600,0.18,assets/legacy-wordpress-thumbs/2026/04/6806-6806.webp,480,640,0.038
6783,Prvo špiljarenje,6783,novosti/6783.html,Speleoškola,06.04.2026.,https://sovelebit.wordpress.com/wp-content/uploads/2026/04/blatni-skolarci_gorana-peric.jpg?w=1080,2026/04/blatni-skolarci_gorana-peric.jpg,0.651,assets/legacy-wordpress-featured/2026/04/6783-6783.webp,1600,901,0.385,assets/legacy-wordpress-thumbs/2026/04/6783-6783.webp,640,360,0.061
6702,Novi Velebiten!,novi-velebiten-4,novosti/novi-velebiten-4.html,Novosti,15.12.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/12/sadrzaj.jpg?w=1080,2025/12/sadrzaj.jpg,3.788,assets/legacy-wordpress-featured/2025/12/6702-novi-velebiten-4.webp,1600,1131,0.149,assets/legacy-wordpress-thumbs/2025/12/6702-novi-velebiten-4.webp,640,452,0.03
6639,Mamet Inspirirajući,mamet-inspirirajuci,novosti/mamet-inspirirajuci.html,Novosti,29.10.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/10/mamet_2025_1.jpg?w=810,2025/10/mamet_2025_1.jpg,1.794,assets/legacy-wordpress-featured/2025/10/6639-mamet-inspirirajuci.webp,1200,1600,0.583,assets/legacy-wordpress-thumbs/2025/10/6639-mamet-inspirirajuci.webp,480,640,0.085
6543,Najbolji dan u životu,najbolji-dan-u-zivotu,novosti/najbolji-dan-u-zivotu.html,Istraživanja,04.09.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2021/04/001-munizaba_foto_d_baksic_-ulaz.jpg?w=748,2021/04/001-munizaba_foto_d_baksic_-ulaz.jpg,0.132,assets/legacy-wordpress-featured/2021/04/6543-najbolji-dan-u-zivotu.webp,1024,768,0.051,assets/legacy-wordpress-thumbs/2021/04/6543-najbolji-dan-u-zivotu.webp,640,480,0.018
6504,Bez soma nema doma,bez-soma-nema-doma,novosti/bez-soma-nema-doma.html,Istraživanja,16.07.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/07/gotov-film.jpg?w=1080,2025/07/gotov-film.jpg,0.57,assets/legacy-wordpress-featured/2025/07/6504-bez-soma-nema-doma.webp,1600,1060,0.168,assets/legacy-wordpress-thumbs/2025/07/6504-bez-soma-nema-doma.webp,640,424,0.024
6470,Suze radosnice u Munižabi,suze-radosnice-u-munizabi,novosti/suze-radosnice-u-munizabi.html,Istraživanja,03.06.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/06/00-nesudeni-pit-stop-autor-ivona.jpeg?w=748,2025/06/00-nesudeni-pit-stop-autor-ivona.jpeg,0.178,assets/legacy-wordpress-featured/2025/06/6470-suze-radosnice-u-munizabi.webp,1600,901,0.151,assets/legacy-wordpress-thumbs/2025/06/6470-suze-radosnice-u-munizabi.webp,640,360,0.03
6433,Suze u Munižabi,suze-u-munizabi,novosti/suze-u-munizabi.html,Istraživanja,16.05.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/05/1000080601.jpg?w=748,2025/05/1000080601.jpg,0.154,assets/legacy-wordpress-featured/2025/05/6433-suze-u-munizabi.webp,1600,1204,0.114,assets/legacy-wordpress-thumbs/2025/05/6433-suze-u-munizabi.webp,640,481,0.022
6417,Uskršnje lidarke,uskrsnje-lidarke,novosti/uskrsnje-lidarke.html,Istraživanja,05.05.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/05/lidarke-1.jpg?w=488,2025/05/lidarke-1.jpg,0.165,assets/legacy-wordpress-featured/2025/05/6417-uskrsnje-lidarke.webp,488,867,0.184,assets/legacy-wordpress-thumbs/2025/05/6417-uskrsnje-lidarke.webp,360,640,0.081
6412,Istraživanja na Gubačkom vrhu,6412,novosti/6412.html,Istraživanja,30.04.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/04/gubacki-vrh-2025.jpg?w=1080,2025/04/gubacki-vrh-2025.jpg,1.409,assets/legacy-wordpress-featured/2025/04/6412-6412.webp,1600,1200,0.543,assets/legacy-wordpress-thumbs/2025/04/6412-6412.webp,640,480,0.094
6366,Camino de Studena,camino-de-studena,novosti/camino-de-studena.html,Novosti,08.04.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/04/studena-2_dragana.jpg?w=499,2025/04/studena-2_dragana.jpg,1.476,assets/legacy-wordpress-featured/2025/04/6366-camino-de-studena.webp,738,1600,0.16,assets/legacy-wordpress-thumbs/2025/04/6366-camino-de-studena.webp,295,640,0.022
6329,Norenje u Ponorcu,norenje-u-ponorcu,novosti/norenje-u-ponorcu.html,Novosti,07.04.2025.,https://sovelebit.wordpress.com/wp-content/uploads/2025/04/cug-koji-nikad-ne-kasni-mikic-t.jpg?w=1080,2025/04/cug-koji-nikad-ne-kasni-mikic-t.jpg,0.922,assets/legacy-wordpress-featured/2025/04/6329-norenje-u-ponorcu.webp,1600,1066,0.064,assets/legacy-wordpress-thumbs/2025/04/6329-norenje-u-ponorcu.webp,640,426,0.018
